ARSON,Severe
ASSAULT,Violent
BATTERY,Violent
BURGLARY,Severe
CONCEALED CARRY LICENSE VIOLATION,Minor
CRIM SEXUAL ASSAULT,Violent
CRIMINAL DAMAGE,Severe
CRIMINAL TRESPASS,Minor
DECEPTIVE PRACTICE,Minor
DOMESTIC VIOLENCE,Petty
GAMBLING,Petty
HOMICIDE,Violent
HUMAN TRAFFICKING,Violent
INTERFERENCE WITH PUBLIC OFFICER,Minor
INTIMIDATION,Severe
KIDNAPPING,Violent
LIQUOR LAW VIOLATION,Petty
MOTOR VEHICLE THEFT,Severe
NARCOTICS,Petty
NON - CRIMINAL,Petty
NON-CRIMINAL,Petty
NON-CRIMINAL (SUBJECT SPECIFIED),Petty
OBSCENITY,Petty
OFFENSE INVOLVING CHILDREN,Petty
OTHER NARCOTIC VIOLATION,Petty
OTHER OFFENSE,Petty
PROSTITUTION,Petty
PUBLIC INDECENCY,Petty
PUBLIC PEACE VIOLATION,Petty
RITUALISM,Violent
ROBBERY,Severe
SEX OFFENSE,Petty
STALKING,Severe
THEFT,Severe
WEAPONS VIOLATION,Minor
