ARSON,2
ASSAULT,1
BATTERY,1
BURGLARY,2
CONCEALED CARRY LICENSE VIOLATION,3
CRIM SEXUAL ASSAULT,1
CRIMINAL DAMAGE,2
CRIMINAL TRESPASS,3
DECEPTIVE PRACTICE,3
DOMESTIC VIOLENCE,4
GAMBLING,4
HOMICIDE,1
HUMAN TRAFFICKING,1
INTERFERENCE WITH PUBLIC OFFICER,3
INTIMIDATION,2
KIDNAPPING,1
LIQUOR LAW VIOLATION,4
MOTOR VEHICLE THEFT,2
NARCOTICS,4
NON - CRIMINAL,4
NON-CRIMINAL,4
NON-CRIMINAL (SUBJECT SPECIFIED),4
OBSCENITY,4
OFFENSE INVOLVING CHILDREN,4
OTHER NARCOTIC VIOLATION,4
OTHER OFFENSE,4
PROSTITUTION,4
PUBLIC INDECENCY,4
PUBLIC PEACE VIOLATION,4
RITUALISM,1
ROBBERY,2
SEX OFFENSE,4
STALKING,2
THEFT,2
WEAPONS VIOLATION,3
