ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9977403,HY166566,02/27/2015 11:58:00 PM,075XX S SOUTH CHICAGO AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0411,004,5,43,26,1185557,1855546,2015,03/06/2015 12:43:50 PM,41.758759126,-87.59550678,"(41.758759126, -87.59550678)"
9977399,HY166552,02/27/2015 11:55:00 PM,111XX S INDIANA AVE,0460,BATTERY,SIMPLE,RESIDENCE,true,false,0531,005,9,49,08B,1179512,1831148,2015,03/06/2015 12:43:50 PM,41.691948085,-87.618403732,"(41.691948085, -87.618403732)"
9977419,HY166555,02/27/2015 11:53:00 PM,034XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1422,014,26,23,08B,1153350,1910385,2015,03/06/2015 12:43:50 PM,41.909941658,-87.712090397,"(41.909941658, -87.712090397)"
9977392,HY166560,02/27/2015 11:49:00 PM,007XX N HAMLIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1112,011,27,23,18,1150955,1904931,2015,03/06/2015 12:43:50 PM,41.89502261,-87.721031713,"(41.89502261, -87.721031713)"
9977845,HY167195,02/27/2015 11:45:00 PM,064XX S JUSTINE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,0725,007,17,67,11,1167069,1862147,2015,03/06/2015 12:43:50 PM,41.777288287,-87.663075426,"(41.777288287, -87.663075426)"
9977548,HY166741,02/27/2015 11:40:00 PM,008XX E 49TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0223,002,4,39,06,1182440,1872737,2015,03/06/2015 12:43:50 PM,41.806005596,-87.606397619,"(41.806005596, -87.606397619)"
9978595,HY168304,02/27/2015 11:30:00 PM,021XX S STATE ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,0131,001,3,33,08B,1176690,1890182,2015,03/06/2015 12:43:50 PM,41.854007608,-87.626960226,"(41.854007608, -87.626960226)"
9977447,HY166548,02/27/2015 11:30:00 PM,055XX W WASHINGTON BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1522,015,29,25,06,1139102,1900154,2015,03/06/2015 12:43:50 PM,41.882137789,-87.764681486,"(41.882137789, -87.764681486)"
9977422,HY166526,02/27/2015 11:30:00 PM,034XX W PALMER ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,1413,014,26,22,08B,1153107,1914370,2015,03/06/2015 12:43:50 PM,41.920881673,-87.712877177,"(41.920881673, -87.712877177)"
9977930,HY166969,02/27/2015 11:30:00 PM,034XX W 74TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0835,008,18,66,14,1154671,1855365,2015,03/06/2015 12:43:50 PM,41.758933601,-87.708707301,"(41.758933601, -87.708707301)"
