ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9993618,HY183647,03/13/2015 11:56:00 PM,022XX W 21ST ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1234,012,25,31,04A,1161498,1889981,2015,03/20/2015 12:42:30 PM,41.853785453,-87.682726178,"(41.853785453, -87.682726178)"
9993559,HY183629,03/13/2015 11:56:00 PM,049XX N AUSTIN AVE,2022,NARCOTICS,POSS: COCAINE,ALLEY,true,false,1622,016,45,11,18,1135233,1932723,2015,03/20/2015 12:42:30 PM,41.971580323,-87.778114286,"(41.971580323, -87.778114286)"
9993811,HY183931,03/13/2015 11:52:00 PM,002XX N KILBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1113,011,28,26,14,1146318,1900711,2015,03/20/2015 12:42:30 PM,41.883531998,-87.738169853,"(41.883531998, -87.738169853)"
9993675,HY183675,03/13/2015 11:50:00 PM,046XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0222,002,4,39,08B,1185621,1874728,2015,03/20/2015 12:42:30 PM,41.81139462,-87.594668281,"(41.81139462, -87.594668281)"
9993703,HY183626,03/13/2015 11:48:00 PM,030XX N KOLMAR AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),false,false,2521,025,31,20,26,1145566,1919717,2015,03/20/2015 12:42:30 PM,41.935700728,-87.740448872,"(41.935700728, -87.740448872)"
9994201,HY184252,03/13/2015 11:45:00 PM,036XX N CENTRAL PARK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,1732,017,35,16,07,1151697,1923929,2015,03/20/2015 12:42:30 PM,41.947140224,-87.717805698,"(41.947140224, -87.717805698)"
9993544,HY183603,03/13/2015 11:45:00 PM,067XX S LOOMIS BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0724,007,17,67,18,1168202,1859893,2015,03/20/2015 12:42:30 PM,41.771078719,-87.658986648,"(41.771078719, -87.658986648)"
9993610,HY183593,03/13/2015 11:45:00 PM,016XX W JUNEWAY TER,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,2422,024,49,1,04B,1163764,1951532,2015,03/20/2015 12:42:30 PM,42.022637407,-87.672668063,"(42.022637407, -87.672668063)"
9993577,HY183600,03/13/2015 11:45:00 PM,068XX S MAPLEWOOD AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,true,true,0832,008,15,66,08A,1160519,1859011,2015,03/20/2015 12:42:30 PM,41.76882024,-87.68717416,"(41.76882024, -87.68717416)"
9993635,HY183607,03/13/2015 11:44:00 PM,122XX S PARNELL AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0523,005,34,53,08B,1174805,1823871,2015,03/20/2015 12:42:30 PM,41.672084769,-87.635852316,"(41.672084769, -87.635852316)"
9993624,HY183590,03/13/2015 11:40:00 PM,046XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0222,002,4,39,04A,1183661,1874430,2015,03/20/2015 12:42:30 PM,41.81062289,-87.601866649,"(41.81062289, -87.601866649)"
9993663,HY183613,03/13/2015 11:40:00 PM,041XX W MADISON ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,1115,011,28,26,24,1148567,1899725,2015,03/20/2015 12:42:30 PM,41.880783206,-87.72993673,"(41.880783206, -87.72993673)"
9993574,HY183606,03/13/2015 11:38:00 PM,039XX W PALMER ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2525,025,30,22,18,1149754,1914291,2015,03/20/2015 12:42:30 PM,41.920730799,-87.725198981,"(41.920730799, -87.725198981)"
9993583,HY183631,03/13/2015 11:35:00 PM,041XX W DIVISION ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,2534,025,37,23,26,1148755,1907727,2015,03/20/2015 12:42:30 PM,41.902737924,-87.729039468,"(41.902737924, -87.729039468)"
9993889,HY183905,03/13/2015 11:30:00 PM,085XX S HOUSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0424,004,10,46,08B,1198012,1848627,2015,03/20/2015 12:42:30 PM,41.739470691,-87.550091773,"(41.739470691, -87.550091773)"
9993611,HY183591,03/13/2015 11:30:00 PM,015XX S CALIFORNIA BLVD,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,true,false,1023,010,28,29,08B,1157971,1892610,2015,03/20/2015 12:42:30 PM,41.861072311,-87.695599945,"(41.861072311, -87.695599945)"
9993569,HY183586,03/13/2015 11:30:00 PM,0000X N WELLS ST,0320,ROBBERY,STRONGARM - NO WEAPON,CONVENIENCE STORE,false,false,0122,001,42,32,03,1174684,1900770,2015,03/20/2015 12:42:30 PM,41.883106832,-87.634006354,"(41.883106832, -87.634006354)"
9993579,HY183615,03/13/2015 11:30:00 PM,058XX W 63RD ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,0812,008,13,64,18,1138426,1862135,2015,03/20/2015 12:42:30 PM,41.777819993,-87.768082377,"(41.777819993, -87.768082377)"
9996444,HY186735,03/13/2015 11:30:00 PM,006XX N SACRAMENTO BLVD,0810,THEFT,OVER $500,ALLEY,false,false,1221,012,27,23,06,1156174,1904133,2015,03/20/2015 12:42:30 PM,41.89272902,-87.701885186,"(41.89272902, -87.701885186)"
9993571,HY183604,03/13/2015 11:30:00 PM,012XX N KILDARE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2534,025,37,23,18,1147441,1908012,2015,03/20/2015 12:42:30 PM,41.903545292,-87.733858753,"(41.903545292, -87.733858753)"
9993968,HY184139,03/13/2015 11:23:00 PM,0000X N LONG AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1522,015,28,25,07,1140382,1899701,2015,03/20/2015 12:42:30 PM,41.880871329,-87.759992373,"(41.880871329, -87.759992373)"
9993542,HY183598,03/13/2015 11:20:00 PM,069XX S ELIZABETH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0734,007,17,67,18,1169224,1858868,2015,03/20/2015 12:42:30 PM,41.76824394,-87.655269988,"(41.76824394, -87.655269988)"
9993566,HY183605,03/13/2015 11:20:00 PM,011XX W 58TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0712,007,16,68,18,1169424,1866369,2015,03/20/2015 12:42:30 PM,41.788823266,-87.654319791,"(41.788823266, -87.654319791)"
9993572,HY183557,03/13/2015 11:20:00 PM,022XX S SAWYER AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENTIAL YARD (FRONT/BACK),true,false,1024,010,24,30,24,1155085,1888835,2015,03/20/2015 12:42:30 PM,41.850771624,-87.706295089,"(41.850771624, -87.706295089)"
9993575,HY183578,03/13/2015 11:20:00 PM,016XX N MENARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),true,false,2531,025,29,25,14,1137456,1910554,2015,03/20/2015 12:42:30 PM,41.910706463,-87.770475154,"(41.910706463, -87.770475154)"
9993651,HY183567,03/13/2015 11:10:00 PM,131XX S BALTIMORE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0433,004,10,55,08B,1199055,1818197,2015,03/20/2015 12:42:30 PM,41.655941794,-87.547287977,"(41.655941794, -87.547287977)"
9993528,HY183561,03/13/2015 11:10:00 PM,053XX W MADISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1522,015,28,25,14,1140689,1899544,2015,03/20/2015 12:42:30 PM,41.880434868,-87.758868935,"(41.880434868, -87.758868935)"
9993948,HY184105,03/13/2015 11:00:00 PM,010XX N PARKSIDE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1511,015,29,25,06,1138527,1906576,2015,03/20/2015 12:42:30 PM,41.899771003,-87.766637173,"(41.899771003, -87.766637173)"
